,animal_id,sex,diet,sucrose,fat_old,lean_old,fat_new,lean_new,bodyweight_old,bodyweight_new,fat_change,lean_change,groupn,fat%_old,fat%_new,fat%_change,lean%_old,lean%_new,lean%_change
29,B3231,male,experimental,No,0.085,22.177500000000002,13.5175,24.94,23.8,40.5,13.4325,2.7624999999999993,7,0.35714285714285715,33.376543209876544,33.01940035273369,93.1827731092437,61.58024691358025,-31.60252619566345
30,B3232,male,experimental,No,0.41,21.432499999999997,9.512500000000001,23.285,23.5,35.0,9.102500000000001,1.8525000000000027,7,1.7446808510638296,27.17857142857143,25.4338905775076,91.20212765957446,66.52857142857142,-24.673556231003033
31,B3233,male,experimental,Yes,0.4175,22.285,10.0475,24.465,24.2,36.5,9.629999999999999,2.1799999999999997,6,1.7252066115702478,27.527397260273972,25.802190648703725,92.08677685950414,67.02739726027397,-25.05937959923017
32,B3234,male,experimental,Yes,0.1825,21.83,10.085,24.36,23.8,36.0,9.902500000000002,2.530000000000001,6,0.7668067226890756,28.013888888888893,27.247082166199817,91.72268907563024,67.66666666666666,-24.056022408963585
33,B3235,male,control,Yes,0.04,20.810000000000002,12.7725,25.5125,23.0,40.4,12.732500000000002,4.702499999999997,4,0.17391304347826086,31.615099009900995,31.441185966422733,90.47826086956523,63.149752475247524,-27.32850839431771
34,B3236,male,control,Yes,0.0975,22.5325,15.195,27.465,25.6,44.2,15.0975,4.932500000000001,4,0.380859375,34.37782805429864,33.99696867929864,88.017578125,62.13800904977374,-25.879569075226257
35,B3237,male,experimental,Yes,0.7175,22.5875,14.305,26.4975,24.8,42.4,13.5875,3.91,6,2.8931451612903225,33.738207547169814,30.84506238587949,91.07862903225805,62.49410377358491,-28.58452525867314
36,B3238,male,experimental,Yes,0.9525,23.11,10.0025,25.7375,25.9,37.6,9.049999999999999,2.6275000000000013,6,3.6776061776061777,26.602393617021274,22.9247874394151,89.22779922779924,68.45079787234043,-20.777001355458808
37,B3239,male,control,No,1.5375,22.9,13.862499999999999,26.4075,25.9,42.0,12.325,3.5075000000000003,5,5.936293436293437,33.00595238095238,27.069658944658944,88.41698841698842,62.87499999999999,-25.541988416988424
38,B3240,male,control,No,1.1,22.9825,16.2825,28.042499999999997,26.2,45.6,15.1825,5.059999999999995,5,4.198473282442749,35.70723684210526,31.508763559662512,87.71946564885496,61.49671052631578,-26.222755122539184
39,B3241,male,control,No,0.6325000000000001,23.875,10.435,30.8775,26.5,43.1,9.8025,7.002500000000001,5,2.386792452830189,24.211136890951277,21.824344438121088,90.09433962264151,71.6415313225058,-18.452808300135715
40,B3242,male,control,No,0.8750000000000001,22.48,14.182500000000001,26.32,24.6,42.1,13.307500000000001,3.84,5,3.556910569105691,33.687648456057005,30.130737886951316,91.3821138211382,62.51781472684086,-28.864299094297344
41,B3243,male,experimental,No,0.052500000000000005,22.1175,12.347500000000002,25.7825,24.1,39.7,12.295000000000002,3.664999999999999,7,0.21784232365145229,31.102015113350127,30.884172789698674,91.77385892116182,64.9433249370277,-26.83053398413412
42,B3244,male,experimental,No,1.2449999999999999,21.905,11.4175,24.455,25.4,37.4,10.172500000000001,2.549999999999997,7,4.9015748031496065,30.528074866310163,25.626500063160556,86.24015748031498,65.38770053475935,-20.85245694555563
43,B3245,male,experimental,No,0.8625,22.050000000000004,9.99,24.3125,24.1,35.8,9.1275,2.2624999999999957,7,3.5788381742738586,27.905027932960895,24.326189758687036,91.49377593360997,67.91201117318437,-23.5817647604256
44,B3246,male,experimental,No,0.1275,24.54,13.21,28.285,26.4,43.1,13.082500000000001,3.745000000000001,7,0.4829545454545455,30.64965197215777,30.166697426703223,92.95454545454545,65.62645011600928,-27.328095338536173
