,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,sex,sucrose,diet,week 1-3,week 4-6,week 7-9,week 10-12,1_week 1-3,1_week 4-6,1_week 7-9,1_week 10-12
22,B3224,6.25,6.25,5.566666666666667,4.900000000000001,7.0,6.433333333333333,6.733333333333332,8.299999999999999,7.533333333333334,7.166666666666667,7.3,7.0666666666666655,7.033333333333334,6.333333333333333,5.333333333333333,7.133333333333333,6.533333333333334,6.666666666666667,6.0,6.266666666666666,5.233333333333334,5.633333333333333,4.866666666666667,5.699999999999998,5.233333333333332,5.5,5.266666666666668,5.766666666666668,female,Yes,experimental,6.161904761904762,7.247619047619047,6.166666666666667,5.423809523809523,0.16228748068006182,0.13797634691195795,0.16216216216216214,0.1843722563652327
23,B3225,6.179487179487179,6.179487179487179,6.966666666666669,7.833333333333335,8.233333333333333,8.433333333333335,7.766666666666668,7.3,6.333333333333333,5.466666666666666,4.8666666666666645,6.5,6.733333333333334,3.133333333333333,4.266666666666668,4.633333333333333,6.333333333333333,5.3,5.3666666666666645,5.8666666666666645,5.6333333333333355,6.233333333333334,5.966666666666666,6.399999999999999,7.2,5.5666666666666655,6.133333333333333,6.2,male,Yes,control,7.370329670329672,5.761904761904761,5.3428571428571425,6.242857142857143,0.1356791411957656,0.1735537190082645,0.18716577540106952,0.16018306636155608
24,B3226,6.098717948717948,6.098717948717948,5.099999999999999,7.566666666666667,8.366666666666665,6.766666666666666,5.766666666666668,6.466666666666669,5.566666666666667,6.0,6.666666666666667,6.466666666666669,8.333333333333334,5.033333333333334,6.833333333333333,5.133333333333333,5.8,5.933333333333333,5.100000000000001,6.333333333333333,5.5666666666666655,6.0,5.666666666666667,5.599999999999999,6.666666666666667,5.2,4.666666666666667,5.966666666666666,male,Yes,control,6.537728937728937,6.361904761904762,5.814285714285715,5.680952380952381,0.15295831465710447,0.15718562874251496,0.17199017199017197,0.17602682313495388
25,B3227,5.612820512820513,5.612820512820513,5.666666666666667,6.433333333333333,6.366666666666667,4.3,5.866666666666667,6.699999999999998,6.0,7.166666666666667,6.833333333333333,6.4333333333333345,7.399999999999999,6.0666666666666655,7.3,5.9333333333333345,6.633333333333333,6.533333333333331,6.4333333333333345,3.566666666666665,4.466666666666666,3.133333333333335,3.400000000000001,4.4333333333333345,4.733333333333334,3.5,5.466666666666669,5.166666666666667,male,Yes,control,5.694139194139194,6.6571428571428575,5.838095238095237,4.261904761904763,0.175619170151174,0.1502145922746781,0.1712887438825449,0.23463687150837984
26,B3228,4.862820512820513,4.862820512820513,7.1333333333333355,6.533333333333334,6.2,6.366666666666667,6.033333333333334,4.933333333333333,4.833333333333333,6.399999999999999,5.600000000000001,5.333333333333333,5.5666666666666655,4.6333333333333355,5.533333333333334,6.166666666666667,4.8,3.7000000000000006,4.7,3.866666666666667,3.7999999999999994,2.8333333333333335,2.8999999999999986,2.599999999999999,5.133333333333333,3.400000000000001,4.400000000000001,3.0333333333333337,male,Yes,control,5.998901098901099,5.328571428571428,4.652380952380952,3.471428571428572,0.16669719728888074,0.18766756032171583,0.21494370522006143,0.28806584362139914
27,B3229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,control,,,,,,,,
28,B3230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,control,,,,,,,,
29,B3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,experimental,,,,,,,,
30,B3232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,experimental,,,,,,,,
31,B3233,5.123076923076923,5.123076923076923,5.433333333333333,5.833333333333333,5.733333333333334,5.133333333333333,5.866666666666667,5.3,4.433333333333333,6.400000000000001,5.766666666666668,3.9666666666666663,4.833333333333333,4.766666666666666,6.0,4.599999999999999,6.366666666666667,4.7,3.8333333333333335,4.666666666666667,4.766666666666666,5.366666666666667,5.666666666666667,5.033333333333331,5.099999999999999,4.733333333333334,5.5666666666666655,3.3333333333333335,male,Yes,experimental,5.463736263736264,5.066666666666667,4.99047619047619,4.971428571428571,0.1830249396621078,0.19736842105263155,0.200381679389313,0.20114942528735635
