,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,sex,sucrose,diet,week 1-3,week 4-6,week 7-9,week 10-12,loge_week 1-3,loge_week 4-6,loge_week 7-9,loge_week 10-12
20,B3222,0.8324122201805998,0.7704240761245985,1.4415918558285605,2.2718236951727544,2.234326320579689,2.050310166496857,2.118472363216298,1.8609041901494734,1.9491645529381396,2.6998109707004536,2.789076751340906,2.262772604753734,1.824699828473413,1.9337388471683705,1.9369333496692014,2.0770959498722297,1.9131146906717877,1.3878338642489592,2.5071520460671377,2.519823572653761,1.9491645529381396,2.0033080127419742,1.7872592203010966,1.9477946581720165,1.4777290480024405,1.5894597809001851,1.690659494082048,1.6839237988865028,female,Yes,experimental,1.8144914129031262,2.1885953922177843,2.041588289445888,1.7400191447266091,0.5958052151732238,0.7832599646439554,0.7137280781829802,0.5538961158823502
21,B3223,0.5642057342314634,0.5396750501344433,1.1711323950864552,1.4031201502899617,1.026425411728291,1.2941133535272447,1.3093910806174947,1.235046903968229,1.369183132476443,0.9164566776507079,1.5823955152072955,0.864156567218738,1.1644504898259234,0.6814938668434782,1.158539573633913,0.6744355375083134,0.6632219298339072,0.8289550397553004,0.726461290024544,0.5078529637847288,0.4988156497590457,0.647152964959569,0.5673669829782524,0.6172546908705272,0.4242539283729821,0.3344593411978858,0.4441068365596667,1.558917220404457,female,Yes,experimental,1.1239762402306483,1.1161690218844023,0.7226117120428218,0.6562159950490486,0.11687261266324386,0.10990230579266154,-0.3248832522034058,-0.4212652834869706
22,B3224,0.5839413173558031,0.5656931511884346,0.8637326285574262,0.6867149892104241,1.4144959910646624,1.096069302506594,1.3001388548558355,2.4039696152903693,1.72256541869253,1.596705181610841,1.547074186742847,1.427967381455754,1.9713858873931902,0.9654496446949282,1.3240452270101861,1.549546679735357,1.2901917979104949,1.158539573633913,0.9654496446949272,1.1112522440978336,0.8120121118773408,0.8024310981316854,0.8997169029284653,0.88442083522946,0.9885364840245882,0.7834386461049,0.7263859231514221,1.252670913991669,female,Yes,experimental,0.9878074862305627,1.6621596165543515,1.1730053255657218,0.9053715433660272,-0.012267452213742855,0.5081177306631889,0.15956910978526206,-0.09940987437698393
23,B3225,0.536938533164948,0.5900423441373059,1.3757657436902702,1.6205761893093449,1.5897737482643137,1.92835863243013,1.2977871185418366,1.5857510414114189,0.8213526828001619,0.879631898499823,0.8457338887527561,1.0085500752616652,1.2448137972023972,0.26432699010094135,0.6178877726047538,0.5440439214024114,1.05828134130021,0.7805414924059001,0.8327003185493733,0.9268316589071303,0.7894886610650466,0.9502057029365861,0.9257972485735284,1.425894859857124,2.2343263205796924,1.051500591287301,1.044957262493333,0.997631299518092,male,Yes,control,1.400383962728867,0.9500229105755947,0.7928250237478321,1.2329018978922366,0.336746458111111,-0.05126917828298324,-0.23215273270586603,0.20937065726358894
24,B3226,0.5823301724193287,0.5698069429049339,0.6285693431418035,1.6436780200931143,2.077095949872229,1.250976241743001,0.8214235501584715,1.195514240877549,0.8061504533202646,1.0426856162705218,1.4853071456845044,1.0033780235936567,1.6090827411582125,0.6626495288587911,1.1642186891909425,0.7690305790500969,0.8841486219837764,1.0108825691511591,0.9232112227395239,1.0005569045020166,0.7929348721182926,0.8689046802254348,0.7693426856162706,1.1058786839232808,1.524394175834096,0.47561098286023806,0.6540142754384999,0.8938732055192684,male,Yes,control,1.1652583413189257,1.1149668213947856,0.9349976369622583,0.8988598127738697,0.1529428146393643,0.10882464787274097,-0.06721127700973639,-0.10662819351768447
25,B3227,0.45579495447243656,0.4926268699853604,1.2957350494589825,1.4333213955855466,1.3171491581195076,0.4981720166625826,1.0845902391466415,1.1195502610596955,0.7666806001989127,1.3838111573960628,1.0602705919417506,0.8469626428460055,1.5682669838215155,0.8367230254022697,1.761945601568244,0.7581619268633697,1.1084104574670606,1.158539573633913,1.2704439642690077,0.6593815658448329,0.7762215143347215,0.5235707688537884,0.47649611496233507,0.7407969389101472,0.8568365596667475,0.4283332930688763,0.8482164735534008,0.7240872335211963,male,Yes,control,1.0202657881597703,1.083180751809459,1.07044351485445,0.6569053403623559,0.020063169979212765,0.07990185327044437,0.0680730624564492,-0.4202153494739542
26,B3228,0.42253275026859904,0.48566982789494195,1.7709104911261244,1.455601002770812,1.0994304117138158,1.1064052928203871,1.4168625866739089,0.7390683486974957,0.6461086083727593,0.8299985005138485,0.9010863350485983,0.6814938668434786,1.343584088867107,0.5920477968202723,1.0016540063709867,0.9081772081452288,0.5958203521545837,0.5185398898119529,0.6095301488148573,0.4799663947911925,0.5412848827633853,0.264720063867964,0.3760930705453371,0.26578260806895637,0.796495956873316,0.4344523401127173,0.56223244014587,0.3175515096406206,male,Yes,control,1.2224799354999984,0.8190553635947941,0.6649961261217411,0.4310468556078259,0.2008815295532627,-0.19960359839693553,-0.407974063724091,-0.8415384810800434
27,B3229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,control,,,,,,,,
28,B3230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,control,,,,,,,,
29,B3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,experimental,,,,,,,,
