,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,sex,sucrose,diet,week 1-3,week 4-6,week 7-9,week 10-12
10,B3212,3.0,3.0833333333333335,3.133333333333334,2.983333333333333,2.9666666666666663,3.0500000000000007,3.0666666666666664,3.1000000000000014,2.9666666666666663,2.7999999999999994,3.0833333333333335,3.016666666666667,2.866666666666667,3.150000000000001,2.9166666666666665,3.0333333333333328,2.9333333333333336,3.066666666666665,2.9500000000000006,2.9166666666666665,3.1833333333333322,2.9333333333333336,2.883333333333333,3.099999999999999,2.85,3.0,2.733333333333333,2.6999999999999993,female,No,control,3.0472222222222225,2.9976190476190476,2.9999999999999996,2.8857142857142857
11,B3213,2.7666666666666657,3.0333333333333337,1.4333333333333325,1.5333333333333339,1.2666666666666657,0.9666666666666686,1.4,1.2666666666666668,1.6666666666666667,1.1666666666666667,1.1666666666666667,1.3666666666666671,1.3333333333333333,1.0,0.7666666666666657,1.3666666666666671,1.2666666666666657,1.0666666666666675,1.0333333333333339,1.599999999999999,1.3333333333333333,1.1666666666666667,1.5666666666666664,1.133333333333334,1.4333333333333325,0.9666666666666662,1.900000000000001,1.2333333333333343,female,Yes,control,1.6055555555555558,1.2809523809523813,1.2047619047619045,1.342857142857143
12,B3214,3.433333333333335,3.3999999999999986,2.666666666666668,2.799999999999997,2.7000000000000006,2.1000000000000014,1.6444444444444446,2.0666666666666664,1.1666666666666667,1.5,1.3666666666666671,1.2333333333333343,1.3333333333333333,0.8999999999999986,1.2333333333333343,1.2333333333333343,1.2000000000000004,1.3333333333333333,1.2999999999999996,1.2666666666666682,1.1666666666666667,1.4333333333333325,0.7000000000000005,1.3333333333333333,1.5333333333333339,1.0666666666666675,1.1666666666666667,1.7666666666666657,female,Yes,control,2.551851851851852,1.366666666666667,1.247619047619048,1.2857142857142858
13,B3215,2.799999999999997,2.933333333333335,2.9333333333333322,3.133333333333333,3.0098765432098764,2.866666666666666,2.9666666666666663,2.900000000000001,2.699999999999998,2.933333333333335,3.0,2.7666666666666657,2.9666666666666672,3.1000000000000014,2.733333333333332,2.9666666666666663,3.0000000000000013,3.2999999999999994,2.7666666666666657,3.133333333333333,3.5333333333333314,3.2000000000000006,3.1666666666666665,3.366666666666667,2.933333333333335,3.366666666666667,2.900000000000001,2.8999999999999986,female,No,experimental,2.9738683127572014,2.9095238095238094,3.0619047619047612,3.11904761904762
14,B3216,3.133333333333335,3.5333333333333337,3.233333333333332,3.2000000000000006,3.0765432098765433,3.1666666666666665,3.0,3.1666666666666665,2.766666666666668,2.733333333333332,3.099999999999999,2.8333333333333335,3.4666666666666663,3.1666666666666665,2.7000000000000006,3.1666666666666665,2.599999999999999,3.2000000000000006,2.6000000000000014,2.5333333333333314,3.299999999999997,3.3333333333333335,3.4666666666666686,2.9666666666666663,3.7999999999999994,2.6666666666666665,3.4333333333333322,2.800000000000002,female,No,experimental,3.2016460905349793,3.0333333333333328,2.871428571428571,3.2095238095238097
15,B3217,2.066666666666665,2.8333333333333335,1.9666666666666661,2.5333333333333337,1.4839506172839507,1.5333333333333339,1.5,1.4666666666666661,0.8000000000000007,1.133333333333334,1.3666666666666671,0.9333333333333348,1.1666666666666667,1.4333333333333325,0.9333333333333323,1.3333333333333346,1.1999999999999993,1.7333333333333343,1.4333333333333325,1.0666666666666675,1.7000000000000004,1.3999999999999986,1.6333333333333353,1.499999999999999,0.9333333333333348,1.7333333333333318,1.0666666666666675,1.666666666666669,female,Yes,control,1.9751028806584363,1.1857142857142857,1.3428571428571432,1.4190476190476196
16,B3218,2.8333333333333335,2.933333333333335,1.2999999999999996,1.400000000000001,1.6469135802469137,1.7333333333333343,1.4666666666666661,1.5,1.4666666666666661,1.3333333333333333,1.6666666666666667,2.133333333333333,1.6333333333333329,1.5,1.5333333333333339,1.2333333333333318,1.2000000000000004,1.3333333333333333,1.3666666666666671,1.7999999999999996,1.7666666666666657,1.8000000000000018,1.8999999999999986,1.8333333333333333,1.2000000000000004,1.5,1.7999999999999996,1.2999999999999996,female,Yes,control,1.7467078189300418,1.6047619047619044,1.4619047619047616,1.6190476190476188
17,B3219,2.7000000000000006,3.133333333333333,1.8666666666666671,1.3333333333333333,2.066666666666663,1.7333333333333343,1.3333333333333333,1.8666666666666671,2.0333333333333337,1.7999999999999996,1.7666666666666682,1.6999999999999993,1.6666666666666667,1.7999999999999996,1.900000000000001,1.0,1.6333333333333329,1.9666666666666675,1.5,2.566666666666665,1.2333333333333343,1.8666666666666671,1.5,1.8999999999999986,1.9666666666666661,1.8000000000000018,1.8333333333333333,1.5333333333333314,female,Yes,experimental,1.9111111111111105,1.804761904761905,1.6857142857142857,1.7714285714285711
18,B3220,2.8333333333333335,3.333333333333331,1.4666666666666661,1.7666666666666682,1.599999999999999,1.1333333333333329,1.6666666666666667,1.1000000000000014,1.2999999999999996,0.8666666666666671,1.2000000000000004,1.2666666666666657,1.3333333333333333,1.1333333333333329,0.9666666666666686,1.4666666666666661,1.5666666666666675,1.2000000000000004,1.6333333333333329,1.4666666666666661,1.5333333333333339,1.5666666666666664,1.5666666666666675,1.900000000000001,1.0666666666666653,1.3666666666666671,1.2999999999999996,1.599999999999999,female,Yes,experimental,1.8277777777777773,1.1714285714285715,1.404761904761905,1.480952380952381
19,B3221,2.7333333333333343,3.133333333333335,1.1999999999999982,1.3333333333333333,1.4666666666666661,1.1333333333333329,1.0666666666666675,1.1333333333333329,0.8666666666666671,0.9000000000000009,0.9666666666666662,1.099999999999999,0.9333333333333348,1.2333333333333318,0.8333333333333334,1.9666666666666661,0.9000000000000009,1.2666666666666657,0.9666666666666662,1.1333333333333353,1.3666666666666647,1.1333333333333353,1.5666666666666653,1.0333333333333339,1.2666666666666668,1.6666666666666667,1.4333333333333325,1.3234567901234568,female,Yes,experimental,1.5555555555555556,1.0190476190476188,1.2047619047619045,1.3462081128747794
20,B3222,2.900000000000001,3.1333333333333306,1.4666666666666686,1.0666666666666653,1.1666666666666667,1.2666666666666682,1.1666666666666667,1.3333333333333333,1.2333333333333318,0.9333333333333348,0.8999999999999986,1.0666666666666675,1.3333333333333333,1.1333333333333329,1.0666666666666653,1.1666666666666667,1.2666666666666682,1.599999999999999,1.0666666666666675,1.0,1.2333333333333318,1.2000000000000004,1.3666666666666671,1.3333333333333333,1.6333333333333329,1.3666666666666671,1.4333333333333325,1.4333333333333325,female,Yes,experimental,1.5444444444444443,1.133333333333333,1.1999999999999997,1.395238095238095
21,B3223,2.9333333333333322,3.066666666666665,1.5333333333333339,1.5,1.900000000000001,1.5666666666666653,1.6000000000000014,1.7666666666666657,1.4666666666666661,2.233333333333332,1.3666666666666671,2.0333333333333337,1.6333333333333329,2.266666666666667,1.7333333333333332,2.3333333333333335,2.2999999999999994,1.9333333333333325,2.0333333333333337,2.4333333333333336,2.400000000000001,2.133333333333333,2.4333333333333322,2.0333333333333337,2.366666666666667,2.7999999999999994,2.5,1.1333333333333329,female,Yes,experimental,1.861111111111111,1.8238095238095233,2.1666666666666665,2.1999999999999997
22,B3224,3.099999999999999,3.199999999999998,1.8666666666666671,2.0666666666666678,1.4333333333333325,1.7000000000000004,1.5,1.0,1.2666666666666657,1.3000000000000007,1.3666666666666671,1.4333333333333325,1.0333333333333339,1.8999999999999986,1.1666666666666667,1.3333333333333346,1.4666666666666661,1.6666666666666667,1.8000000000000007,1.6333333333333353,1.8666666666666671,2.0333333333333337,1.5666666666666653,1.8666666666666671,1.5333333333333339,2.0333333333333337,2.099999999999999,1.3333333333333333,female,Yes,experimental,1.961111111111111,1.328571428571428,1.5619047619047624,1.780952380952381
23,B3225,3.3333333333333335,3.0333333333333314,1.4666666666666686,1.3999999999999986,1.5,1.2666666666666682,1.7333333333333318,1.3333333333333333,2.2333333333333343,1.7999999999999996,1.6666666666666667,1.8666666666666671,1.5666666666666653,3.4333333333333322,2.0,2.4666666666666686,1.7333333333333318,1.966666666666664,1.8666666666666696,1.8333333333333333,2.066666666666665,1.900000000000001,1.8666666666666671,1.2999999999999996,0.9333333333333323,1.5333333333333339,1.7000000000000004,1.7999999999999996,male,Yes,control,1.7333333333333332,1.9857142857142853,1.9904761904761903,1.5761904761904764
24,B3226,3.0333333333333314,3.1000000000000014,2.3500000000000014,1.3333333333333333,1.1666666666666667,1.5666666666666675,2.0333333333333328,1.5666666666666664,2.0,1.6666666666666667,1.2999999999999996,1.8666666666666671,1.5,2.2000000000000006,1.6999999999999993,1.9333333333333347,1.8999999999999986,1.7000000000000004,1.6000000000000014,1.8333333333333321,2.0333333333333337,2.0,2.133333333333333,1.4666666666666661,1.2666666666666668,3.1666666666666665,2.066666666666665,1.9333333333333347,male,Yes,control,1.9250000000000007,1.7285714285714289,1.8142857142857145,2.0047619047619043
25,B3227,3.566666666666665,3.3000000000000007,1.2666666666666657,1.2999999999999996,1.400000000000001,2.5,1.5666666666666675,1.7333333333333318,2.266666666666668,1.5,1.8666666666666671,2.199999999999998,1.3666666666666671,2.1000000000000014,1.1999999999999993,2.266666666666667,1.7333333333333343,1.6333333333333329,1.4666666666666661,1.5666666666666675,1.6666666666666667,1.7333333333333318,2.0666666666666678,1.7333333333333318,1.6000000000000014,2.366666666666667,1.8666666666666671,2.066666666666665,male,Yes,control,1.8888888888888893,1.861904761904762,1.6476190476190478,1.919047619047619
26,B3228,3.3333333333333357,2.8999999999999986,1.1666666666666667,1.3000000000000018,1.6333333333333329,1.6666666666666667,1.2333333333333318,1.9333333333333347,2.1666666666666665,2.233333333333332,1.8000000000000018,2.2666666666666657,1.2000000000000004,2.2666666666666657,1.6000000000000014,1.9666666666666661,2.3333333333333335,2.0666666666666678,2.233333333333333,2.3333333333333335,2.0333333333333337,3.1,2.2333333333333343,2.8333333333333335,1.8666666666666647,2.266666666666668,2.2666666666666657,2.766666666666668,male,Yes,control,1.6499999999999997,1.9809523809523812,2.0809523809523816,2.4761904761904767
27,B3229,2.5666666666666678,2.7666666666666657,2.766666666666668,2.900000000000001,3.0,3.2999999999999994,3.4333333333333336,3.4666666666666686,3.1999999999999993,3.833333333333331,3.1000000000000014,3.4333333333333322,2.866666666666667,3.9333333333333322,3.366666666666665,3.133333333333335,2.5333333333333328,3.599999999999999,3.4666666666666663,3.199999999999998,3.400000000000001,3.3333333333333335,3.3333333333333335,3.4333333333333322,3.3333333333333335,3.2000000000000006,2.8000000000000007,3.5666666666666678,male,No,control,3.0277777777777772,3.4047619047619047,3.2428571428571424,3.2857142857142856
28,B3230,2.900000000000001,2.8333333333333335,2.866666666666667,3.0333333333333314,2.8333333333333335,2.900000000000001,2.7999999999999994,2.6666666666666665,3.0,2.800000000000002,2.866666666666665,2.9333333333333322,2.933333333333335,2.8333333333333335,2.6999999999999993,3.0666666666666678,2.5333333333333314,2.9666666666666672,3.233333333333332,2.6666666666666665,3.433333333333337,3.233333333333332,2.866666666666667,2.866666666666665,2.7000000000000006,3.3333333333333335,2.400000000000001,2.7000000000000006,male,No,control,2.8777777777777778,2.861904761904762,2.942857142857143,2.8714285714285714
29,B3231,3.133333333333335,3.099999999999999,3.1666666666666665,2.900000000000001,2.9666666666666663,3.1666666666666665,2.9333333333333322,3.2666666666666657,3.000000000000002,3.2000000000000006,3.3333333333333335,2.833333333333332,3.3999999999999986,3.2999999999999994,3.133333333333334,3.5,2.8333333333333335,3.3333333333333335,3.4333333333333322,2.900000000000001,2.7999999999999994,2.7666666666666657,3.3333333333333335,3.400000000000001,3.366666666666667,3.633333333333333,3.0,3.0333333333333337,male,No,experimental,3.0388888888888883,3.1904761904761902,3.1333333333333337,3.219047619047619
30,B3232,3.4333333333333322,3.0,2.9333333333333322,2.8333333333333344,3.0333333333333328,3.099999999999999,2.866666666666665,2.8666666666666694,2.5,2.8999999999999986,2.5666666666666678,2.633333333333333,2.9666666666666663,3.266666666666668,3.1666666666666665,2.866666666666667,2.2999999999999994,3.4666666666666663,3.3333333333333335,2.9333333333333322,2.9333333333333322,3.199999999999998,2.7333333333333343,2.6666666666666665,2.4,3.8333333333333335,2.866666666666665,2.366666666666667,male,No,experimental,2.9611111111111104,2.814285714285714,2.9999999999999996,2.8666666666666663
31,B3233,2.599999999999999,2.8333333333333335,1.3666666666666696,1.5,1.4666666666666661,2.0333333333333337,1.9333333333333325,1.5333333333333339,2.2000000000000006,1.4666666666666661,1.5,2.5,1.2999999999999996,2.266666666666668,1.4333333333333325,1.8333333333333333,1.4666666666666675,2.400000000000001,1.7333333333333318,2.0666666666666678,1.7333333333333332,1.5333333333333339,1.6333333333333353,1.1999999999999982,1.4333333333333347,1.8333333333333333,0.5999999999999991,2.633333333333335,male,Yes,experimental,1.8555555555555558,1.823809523809524,1.8095238095238098,1.5523809523809526
32,B3234,3.200000000000003,2.7666666666666657,1.7666666666666657,1.1666666666666667,1.3666666666666647,1.6333333333333353,1.6333333333333329,1.3333333333333333,1.8666666666666671,1.7000000000000004,1.599999999999999,1.6000000000000014,1.099999999999999,2.6000000000000014,1.8999999999999986,2.133333333333335,1.7999999999999996,1.7333333333333332,1.9666666666666661,2.133333333333333,1.8666666666666671,1.9333333333333325,1.8000000000000007,2.1000000000000014,1.5,2.0,1.8333333333333333,2.0,male,Yes,experimental,1.7222222222222217,1.6857142857142862,1.9333333333333333,1.8809523809523814
33,B3235,3.2999999999999994,3.0,1.1000000000000014,1.5,1.1666666666666667,1.599999999999999,1.900000000000001,1.8666666666666647,1.4666666666666686,1.7666666666666657,1.7333333333333343,2.1999999999999993,1.2333333333333332,1.9666666666666686,1.7999999999999996,2.2666666666666657,2.1000000000000014,2.066666666666665,1.8333333333333333,2.1666666666666665,2.2666666666666657,2.1000000000000014,1.6333333333333353,1.5,1.6333333333333329,2.1666666666666665,2.0333333333333328,2.133333333333333,male,Yes,control,1.7111111111111112,1.7476190476190474,2.071428571428571,1.8857142857142861
34,B3236,3.266666666666668,3.0333333333333337,1.1333333333333329,1.7000000000000004,1.4333333333333325,1.5,1.9666666666666686,1.599999999999999,2.1666666666666665,1.3666666666666671,1.3999999999999986,1.6333333333333353,1.8333333333333333,1.8999999999999986,2.400000000000001,2.7999999999999994,1.5,2.2333333333333343,2.5,2.7000000000000006,1.7333333333333343,2.4666666666666663,2.1666666666666665,2.6000000000000014,2.400000000000001,2.099999999999999,2.3333333333333335,2.0,male,Yes,control,1.7944444444444445,1.6999999999999997,2.266666666666667,2.2952380952380955
35,B3237,3.366666666666667,2.8999999999999986,2.2530864197530867,1.6333333333333329,1.5333333333333339,2.133333333333333,2.133333333333333,1.8000000000000007,2.2000000000000006,2.133333333333333,2.3999999999999986,2.266666666666668,1.8333333333333333,2.3999999999999986,1.9333333333333347,2.4333333333333322,2.266666666666668,2.0666666666666678,1.8999999999999986,3.400000000000001,1.2000000000000004,2.4666666666666663,2.4,2.2333333333333343,2.2000000000000006,2.633333333333333,2.366666666666667,2.6000000000000014,male,Yes,experimental,2.0977366255144028,2.1476190476190475,2.1714285714285717,2.4142857142857146
36,B3238,2.8333333333333335,3.099999999999999,2.133333333333335,1.3666666666666647,1.5333333333333339,1.4666666666666661,1.5666666666666675,1.9666666666666661,2.2333333333333343,2.1666666666666665,2.099999999999999,1.7999999999999996,1.6000000000000014,2.199999999999998,1.6666666666666667,1.900000000000001,1.2666666666666657,1.900000000000001,1.5,1.5,1.1000000000000014,1.8999999999999986,1.8333333333333333,1.3666666666666671,1.2333333333333332,2.2000000000000006,2.5333333333333337,2.6666666666666665,male,Yes,experimental,1.8611111111111114,2.009523809523809,1.547619047619048,1.9619047619047618
37,B3239,3.133333333333335,2.866666666666665,2.633333333333335,1.7000000000000004,4.233333333333334,2.6666666666666656,2.900000000000001,2.9666666666666663,3.1666666666666665,2.5333333333333328,3.4666666666666663,2.599999999999999,3.2333333333333343,3.7333333333333343,3.566666666666665,2.666666666666668,3.1000000000000014,3.5333333333333337,3.1999999999999993,3.2000000000000006,3.133333333333333,3.2000000000000006,3.4333333333333322,3.400000000000001,2.833333333333332,3.2333333333333343,3.400000000000001,3.099999999999999,male,No,control,2.8333333333333335,3.1,3.1999999999999997,3.2285714285714286
38,B3240,3.366666666666665,3.5333333333333337,3.2999999999999994,4.333333333333333,2.633333333333333,3.0666666666666664,4.066666666666667,3.8999999999999986,3.5666666666666678,3.866666666666667,3.7999999999999994,3.599999999999999,3.1666666666666665,3.6666666666666665,3.7999999999999994,3.233333333333332,2.866666666666667,3.0666666666666678,3.3333333333333335,3.599999999999999,3.133333333333333,3.0666666666666678,3.2000000000000006,3.3666666666666694,3.2666666666666657,3.0,3.133333333333333,3.1000000000000014,male,No,control,3.488888888888889,3.6523809523809523,3.29047619047619,3.1619047619047627
39,B3241,3.599999999999999,3.633333333333333,3.1666666666666665,0.7333333333333343,3.6666666666666665,3.2000000000000006,3.700000000000003,3.7999999999999994,3.7999999999999994,3.5,3.866666666666667,4.333333333333333,4.233333333333332,3.900000000000001,3.9333333333333322,4.100000000000001,3.2999999999999994,3.9666666666666663,4.733333333333332,4.0,4.066666666666667,4.400000000000001,3.7999999999999994,4.366666666666667,3.7333333333333343,3.9666666666666663,3.766666666666667,4.1333333333333355,male,No,control,3.016666666666667,3.9190476190476184,4.014285714285714,4.023809523809525
40,B3242,3.0,3.3333333333333335,3.266666666666668,2.999999999999998,3.1000000000000014,2.7999999999999994,3.5333333333333363,3.1666666666666643,3.2000000000000006,3.4333333333333322,3.1000000000000014,3.7333333333333343,3.2666666666666657,3.1000000000000014,2.9666666666666663,3.2999999999999994,2.6666666666666665,3.3999999999999964,3.7333333333333343,2.7333333333333343,2.7999999999999994,2.9333333333333336,3.2000000000000006,3.4333333333333322,3.2000000000000006,3.3333333333333335,3.366666666666667,3.6000000000000014,male,No,control,3.1722222222222225,3.2857142857142856,3.085714285714285,3.2952380952380955
41,B3243,3.4333333333333322,3.3333333333333335,3.2000000000000006,2.766666666666668,3.066666666666665,3.7333333333333343,3.1333333333333306,3.500000000000002,3.233333333333332,3.300000000000002,3.133333333333333,3.5666666666666678,3.199999999999998,3.0333333333333337,3.133333333333334,3.3333333333333335,3.0333333333333337,2.733333333333332,2.6666666666666665,3.366666666666667,3.0,2.900000000000001,3.0333333333333328,3.5,3.0,2.800000000000002,3.1666666666666656,3.133333333333333,male,No,experimental,3.2055555555555553,3.2809523809523813,3.0380952380952384,3.0761904761904764
42,B3244,3.0333333333333314,2.900000000000001,2.766666666666668,3.0,2.866666666666667,2.8999999999999986,3.200000000000003,2.7666666666666657,3.0,3.066666666666665,2.766666666666667,3.433333333333335,3.233333333333332,2.9333333333333336,2.866666666666667,3.2000000000000006,3.0,2.900000000000001,2.8333333333333335,3.0333333333333314,2.900000000000001,3.0666666666666664,3.2999999999999994,2.866666666666667,3.3666666666666694,3.1666666666666665,3.199999999999998,2.866666666666667,male,No,experimental,2.9388888888888896,3.028571428571428,2.961904761904762,3.119047619047619
43,B3245,3.133333333333333,2.9666666666666663,3.0666666666666678,2.866666666666665,3.1000000000000014,2.8999999999999986,3.3333333333333335,3.1000000000000014,2.9333333333333322,3.4333333333333322,3.1666666666666665,3.1666666666666665,3.400000000000001,3.633333333333335,3.2666666666666657,2.5666666666666664,3.2666666666666657,3.0,3.2999999999999994,2.8000000000000007,3.2333333333333343,3.3333333333333335,3.133333333333335,3.3333333333333335,3.1666666666666665,2.8333333333333335,3.1000000000000014,3.233333333333332,male,No,experimental,3.0388888888888883,3.2619047619047623,3.061904761904762,3.161904761904762
44,B3246,3.366666666666665,3.3666666666666694,3.199999999999998,3.2000000000000006,3.1000000000000014,3.233333333333332,3.566666666666663,3.3333333333333357,3.2000000000000006,3.599999999999999,3.5333333333333337,3.1666666666666665,3.4,3.599999999999999,3.900000000000001,3.133333333333333,3.7666666666666657,3.8333333333333335,3.5666666666666664,3.7333333333333343,3.766666666666668,3.5,3.6666666666666665,3.5666666666666678,3.7666666666666657,3.3666666666666694,3.3333333333333335,3.699999999999998,male,No,experimental,3.2777777777777772,3.404761904761905,3.6714285714285713,3.5571428571428574
45,B3247,2.900000000000001,2.8666666666666694,1.2666666666666657,1.1999999999999982,1.900000000000001,1.2000000000000004,1.3666666666666671,1.2666666666666657,1.7000000000000004,1.3999999999999997,1.3333333333333357,1.8666666666666671,1.0666666666666653,1.5333333333333339,1.599999999999999,1.9333333333333347,1.8333333333333333,1.8666666666666647,1.7000000000000004,1.400000000000001,1.7999999999999996,1.4333333333333336,2.066666666666665,1.9666666666666661,1.7333333333333343,2.233333333333333,1.7333333333333332,2.599999999999999,male,Yes,experimental,1.6333333333333337,1.4523809523809523,1.7333333333333332,1.9666666666666663
